artist,genres_
Rush,Album Rock/Canadian Metal/Classic Canadian Rock/Classic Rock/Hard Rock/Progressive Rock/Rock
Salif Keita,Afropop/Malian Blues/Mande Pop/World
Santana,Blues Rock/Classic Rock/Mexican Classic Rock
Shocking Blue,Nederpop
Simon & Garfunkel,Classic Rock/Folk/Folk Rock/Melancholia/Mellow Gold/Rock/Soft Rock
Soft Machine,Canterbury Scene/Experimental/Jazz Fusion/Jazz Rock/Progressive Rock/Zolo
Sonic Youth,Alternative Rock/Noise Pop/Noise Rock/Rock/Shoegaze
Spirit,Blues Rock/Classic Garage Rock/Country Rock/Folk Rock/Proto-metal/Psychedelic Rock
Steely Dan,Album Rock/Classic Rock/Country Rock/Folk Rock/Mellow Gold/Rock/Soft Rock/Yacht Rock
Stephen Stills,Classic Rock/Country Rock/Folk/Folk Rock/Mellow Gold/Singer-songwriter
Steve Reich,American Contemporary Classical/Classical/Compositional Ambient/Contemporary Classical/Minimalism
Strawberry Alarm Clock,Classic Garage Rock/Folk Rock/Psychedelic Rock/Sunshine Pop
Sun Ra,Afrofuturism/Avant-garde Jazz/Experimental/Free Jazz/Jazz/Spiritual Jazz
T. Rex,Classic Rock/Glam Rock/Protopunk/Rock/Singer-songwriter
TOOL,Alternative Metal/Art Rock/Nu Metal/Post-grunge/Progressive Metal/Progressive Rock/Rock
Talking Heads,Alternative Rock/Art Punk/Dance Rock/Funk Rock/New Wave/Permanent Wave/Post-punk/Rock/Zolo
Tangerine Dream,Berlin School/German Prog/Krautrock/Synthesizer
Television,Alternative Rock/Art Punk/Experimental Rock/No Wave/Noise Pop/Post-punk/Protopunk/Punk/Singer-songwriter
Ten Years After,Blues Rock/British Blues/Classic Rock/Progressive Rock/Psychedelic Rock
Terry Riley,21st Century Classical/American Contemporary Classical/Avant-garde/Compositional Ambient/Contemporary Classical/Experimental/Fourth World/Minimalism/Tzadik
The Alan Parsons Project,Album Rock/Art Rock/Classic Rock/Mellow Gold/Progressive Rock/Soft Rock/Symphonic Rock
The Band,Blues Rock/Classic Canadian Rock/Classic Rock/Cosmic American/Country Rock/Folk/Folk Rock/Heartland Rock/Jam Band/Mellow Gold/Rock/Roots Rock/Southern Rock/Swamp Rock
The Beach Boys,Baroque Pop/Classic Rock/Folk Rock/Mellow Gold/Psychedelic Rock/Rock/Singer-songwriter/Sunshine Pop
The Beatles,British Invasion/Classic Rock/Merseybeat/Psychedelic Rock/Rock
The Brian Jonestown Massacre,Alternative Rock/Bay Area Indie/Garage Rock/Indie Rock/Neo-psychedelic/Noise Pop/Shoegaze
The Byrds,Album Rock/Beatlesque/Classic Rock/Cosmic American/Country Rock/Folk/Folk Rock/Mellow Gold/Psychedelic Rock/Rock/Soft Rock
The Dandy Warhols,Alternative Rock/Dance-punk
The Doors,Acid Rock/Album Rock/Classic Rock/Hard Rock/Psychedelic Rock/Rock
The Flock,
The Kinks,Album Rock/Art Rock/British Invasion/Classic Rock/Folk Rock/Glam Rock/Protopunk/Psychedelic Rock/Rock/Singer-songwriter
The Mothers Of Invention,Art Rock/Blues Rock/Experimental/Instrumental Rock/Jazz Fusion/Jazz Rock/Progressive Rock/Proto-metal/Psychedelic Rock/Symphonic Rock/Zolo
The Paul Butterfield Blues Band,Blues/Blues Rock/Chicago Blues/Country Rock/Electric Blues/Harmonica Blues/Southern Rock/Traditional Blues
The Police,Album Rock/Classic Rock/Permanent Wave/Rock
The Pretty Things,British Blues/British Invasion/Protopunk/Psychedelic Rock
The Rolling Stones,Album Rock/British Invasion/Classic Rock/Rock
The Velvet Underground,Alternative Rock/Melancholia/Permanent Wave/Protopunk/Rock
The Who,Album Rock/British Invasion/Classic Rock/Hard Rock/Rock
The Yardbirds,Album Rock/Blues Rock/British Blues/British Invasion/Classic Rock/Country Rock/Folk Rock/Hard Rock/Psychedelic Rock/Rock/Singer-songwriter
The Zodiac,
Thelonious Monk,Bebop/Contemporary Post-bop/Jazz/Jazz Piano/Jazz Trio
Tinariwen,Afropop/Desert Blues/Malian Blues/Moroccan Rock/Musique Touareg/Tuareg Guitar/Western Saharan Folk/World
Tom Petty,Album Rock/Classic Rock/Hard Rock/Heartland Rock/Mellow Gold/Rock/Singer-songwriter/Soft Rock
Tom Petty and the Heartbreakers,Album Rock/Classic Rock/Hard Rock/Heartland Rock/Mellow Gold/Rock/Singer-songwriter/Soft Rock
Tom Waits,Folk/Singer-songwriter
Tommy Bolin,Blues Rock/Southern Rock
Toufic Farroukh,Arab Alternative/Arab Folk/Arabic Instrumental/Arabic Jazz
Traffic,Blues Rock/British Blues/Classic Rock/Country Rock/Folk Rock/Mellow Gold/Progressive Rock/Psychedelic Rock
Traveling Wilburys,Album Rock/Beatlesque/Classic Rock/Country Rock/Folk/Folk Rock/Mellow Gold/Rock/Singer-songwriter/Soft Rock/Supergroup
Triumvirat,Krautrock/Progressive Rock/Symphonic Rock/Synth Prog
UFO,Album Rock/Glam Metal/Hard Rock/Metal/Progressive Rock
Ultimate Spinach,Bosstown Sound/Psychedelic Rock
Umphrey's McGee,Jam Band
Van Der Graaf Generator,Progressive Rock/Symphonic Rock
Van Halen,Album Rock/Classic Rock/Hard Rock/Rock
Van Morrison,Classic Rock/Folk/Folk Rock/Mellow Gold/Rock/Singer-songwriter/Soft Rock
Vangelis,Cyberpunk/Synthesizer
Victor Jara,Cantautor/Musica Andina/Musica Andina Chilena/Musica Nublensina/Nueva Cancion/Trova
Wayne Shorter,Contemporary Post-bop/Jazz/Jazz Saxophone
Weather Report,Bebop/Contemporary Post-bop/Electric Bass/Jazz/Jazz Funk/Jazz Fusion
Wishbone Ash,Blues Rock/British Blues/Progressive Rock/Symphonic Rock
Wooden Shjips,Neo-psychedelic/Psychedelic Space Rock/Space Rock
Xaal,Zeuhl
Yes,Album Rock/Art Rock/Classic Rock/Hard Rock/Progressive Rock/Rock/Soft Rock/Symphonic Rock
Yusef Lateef,Avant-garde/Bebop/Free Jazz/Jazz/Jazz Saxophone
ZZ Top,Album Rock/Blues Rock/Classic Rock/Hard Rock/Rock
Zao,Canterbury Scene/Rock Progressif Francais/Zeuhl
Zucchero,Italian Adult Pop/Italian Pop Rock
Zupfgeigenhansel,Liedermacher
